Column,Name of Field,Description,Comments,,,,,
QO,TOTAL_DPC_PHLEB_FTE,Total Phlebotomists Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QP,TOTAL_DPC_PHARMA_FTE,Total Pharmacists Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QQ,TOTAL_DPC_PHYSIO_FTE,Total Physiotherapists Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QR,TOTAL_DPC_PODIA_FTE,Total Podiatrists Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QS,TOTAL_DPC_PHYSICIAN_ASSOC_FTE,Total Physician Associates Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QT,TOTAL_DPC_THERA_COU_FTE,Total Therapist- Counsellors Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QU,TOTAL_DPC_THERA_OCC_FTE,Total Therapist- Occupational Therapists Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QV,TOTAL_DPC_THERA_OTH_FTE,Total Therapist- Other Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QW,TOTAL_DPC_NURSE_ASSOC_FTE,Total Nursing Associates Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QX,TOTAL_DPC_PARAMED_FTE,Total Paramedics Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QY,TOTAL_DPC_PHARMT_FTE,Total Pharmacy Technicians Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
QZ,TOTAL_DPC_SPLW_FTE,Total Social Prescribing Link Workers Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
RA,TOTAL_DPC_HI_THERA_FTE,Total High Intensity Therapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
